Format Version,1.24,Take Name,Take 2024-08-21 01.25.36 PM,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2024-08-21 01.25.36.640 PM,Capture Start Frame,4520126,Total Frames in Take,435,Total Exported Frames,435,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.001703,0.017000,0.008319,0.999819,4.039423,2.426690,-1.408734,-0.000016,0.000000,0.000004,1.000000,3.576098,2.427589,-1.430111,4.190365,0.005387,2.214888,4.152596,0.002016,0.991577,4.153658,0.003436,1.035508,4.142033,0.000656,-0.186283,4.157563,2.436126,2.209749,4.110839,2.433749,1.032643,4.074525,2.428653,-0.187340,4.073680,2.430918,-0.224195,4.039106,2.426680,-1.408718,4.090583,0.000023,-1.404168,4.137180,-0.002418,-0.228254,5.977276,2.414030,-1.511619,8.420879,2.403782,-1.600558,6.001574,2.412551,-1.511950,6.599704,1.181166,-1.495070,7.196461,2.408618,-1.552191,7.227725,2.404341,-1.552700,7.820992,1.173303,-1.552349,9.038218,1.164248,-1.602302,9.666624,2.384759,-1.651390,4.743702,2.422876,-1.475075,4.796411,2.418216,-1.478206,3.576070,2.427577,-1.430170,3.569135,-0.001447,-1.398399
7,0.029167,-0.001703,0.016993,0.008319,0.999820,4.039429,2.426698,-1.408738,-0.000018,-0.000003,0.000004,1.000000,3.576073,2.427587,-1.430150,4.190371,0.005399,2.214893,4.152545,0.002025,0.991514,4.153643,0.003445,1.035507,4.142080,0.000717,-0.186320,4.157478,2.436163,2.209741,4.110796,2.433769,1.032662,4.074540,2.428659,-0.187371,4.073697,2.430914,-0.224176,4.039093,2.426696,-1.408749,4.090587,0.000046,-1.404158,4.137153,-0.002433,-0.228227,5.977287,2.413999,-1.511613,8.420877,2.403785,-1.600573,6.001585,2.412549,-1.511954,6.599744,1.181196,-1.495086,7.196423,2.408648,-1.552200,7.227570,2.404307,-1.552681,7.820969,1.173281,-1.552372,9.038176,1.164204,-1.602299,9.666630,2.384776,-1.651385,4.743343,2.423074,-1.475344,4.796418,2.418204,-1.478188,3.576054,2.427567,-1.430154,3.569174,-0.001517,-1.398413
8,0.033333,-0.001707,0.016998,0.008317,0.999819,4.039405,2.426661,-1.408730,-0.000019,-0.000004,0.000002,1.000000,3.576073,2.427599,-1.430162,4.190376,0.005377,2.214908,4.152559,0.002057,0.991517,4.153628,0.003419,1.035495,4.141790,0.000245,-0.186197,4.157573,2.436125,2.209736,4.110770,2.433769,1.032662,4.074530,2.428668,-0.187368,4.073684,2.430923,-0.224192,4.039083,2.426670,-1.408752,4.090631,0.000118,-1.404121,4.137180,-0.002443,-0.228252,5.977280,2.413960,-1.511603,8.420902,2.403795,-1.600547,6.001549,2.412555,-1.511932,6.599752,1.181190,-1.495092,7.196450,2.408618,-1.552189,7.227623,2.404293,-1.552691,7.820976,1.173260,-1.552357,9.038148,1.164170,-1.602345,9.666636,2.384772,-1.651391,4.743269,2.423039,-1.475492,4.796426,2.418236,-1.478184,3.576077,2.427580,-1.430154,3.569142,-0.001478,-1.398402
9,0.037500,-0.001703,0.017000,0.008315,0.999819,4.039428,2.426689,-1.408729,-0.000021,-0.000005,0.000003,1.000000,3.576058,2.427582,-1.430178,4.190370,0.005408,2.214885,4.152575,0.002079,0.991499,4.153676,0.003444,1.035523,4.141891,0.000550,-0.186278,4.157592,2.436110,2.209768,4.110840,2.433733,1.032660,4.074553,2.428648,-0.187364,4.073698,2.430892,-0.224202,4.039073,2.426673,-1.408728,4.090642,0.000099,-1.404158,4.137161,-0.002410,-0.228212,5.977288,2.413943,-1.511600,8.420896,2.403783,-1.600558,6.001367,2.412431,-1.511946,6.599788,1.181173,-1.495072,7.196455,2.408637,-1.552189,7.227697,2.404347,-1.552689,7.820957,1.173255,-1.552350,9.038130,1.164184,-1.602361,9.666605,2.384746,-1.651391,4.743262,2.423005,-1.475517,4.796406,2.418200,-1.478189,3.576075,2.427589,-1.430181,3.569144,-0.001460,-1.398414
10,0.041667,-0.001707,0.017000,0.008321,0.999819,4.039418,2.426683,-1.408741,-0.000016,-0.000002,0.000007,1.000000,3.576064,2.427568,-1.430151,4.190377,0.005434,2.214894,4.152606,0.002082,0.991514,4.153703,0.003435,1.035532,4.142039,0.000690,-0.186281,4.157484,2.436161,2.209746,4.110847,2.433723,1.032647,4.074536,2.428636,-0.187341,4.073693,2.430885,-0.224204,4.039089,2.426659,-1.408723,4.090573,0.000018,-1.404161,4.137190,-0.002373,-0.228217,5.977277,2.413944,-1.511602,8.420877,2.403790,-1.600577,6.001483,2.412523,-1.511932,6.599725,1.181161,-1.495051,7.196448,2.408633,-1.552192,7.227745,2.404348,-1.552633,7.820928,1.173267,-1.552378,9.038113,1.164259,-1.602392,9.666633,2.384771,-1.651394,4.743279,2.423056,-1.475474,4.796408,2.418218,-1.478191,3.576067,2.427574,-1.430167,3.569233,-0.001529,-1.398414
11,0.045833,-0.001703,0.016994,0.008328,0.999819,4.039435,2.426713,-1.408743,-0.000003,0.000003,0.000002,1.000000,3.576088,2.427561,-1.430076,4.190382,0.005429,2.214868,4.152625,0.002063,0.991585,4.153707,0.003433,1.035521,4.142027,0.000655,-0.186304,4.157465,2.436183,2.209723,4.110844,2.433739,1.032651,4.074542,2.428648,-0.187335,4.073708,2.430879,-0.224201,4.039077,2.426668,-1.408715,4.090642,0.000055,-1.404153,4.137255,-0.002282,-0.228315,5.977287,2.413966,-1.511606,8.420892,2.403797,-1.600542,6.001375,2.412448,-1.511919,6.599740,1.181155,-1.495071,7.196457,2.408631,-1.552195,7.227666,2.404347,-1.552638,7.820993,1.173280,-1.552348,9.038077,1.164142,-1.602393,9.666588,2.384700,-1.651381,4.743715,2.422823,-1.475085,4.796422,2.418210,-1.478185,3.576077,2.427593,-1.430157,3.569192,-0.001507,-1.398412
12,0.050000,-0.001703,0.017001,0.008320,0.999819,4.039422,2.426706,-1.408747,-0.000013,-0.000002,-0.000003,1.000000,3.576066,2.427600,-1.430134,4.190379,0.005442,2.214874,4.152595,0.002029,0.991535,4.153700,0.003464,1.035542,4.141987,0.000645,-0.186257,4.157546,2.436191,2.209687,4.110839,2.433739,1.032650,4.074539,2.428654,-0.187342,4.073699,2.430894,-0.224198,4.039096,2.426673,-1.408717,4.090574,0.000065,-1.404216,4.137207,-0.002358,-0.228257,5.977301,2.413927,-1.511592,8.420859,2.403774,-1.600565,6.001485,2.412549,-1.511945,6.599708,1.181177,-1.495071,7.196474,2.408610,-1.552193,7.227674,2.404320,-1.552657,7.820930,1.173232,-1.552355,9.038084,1.164081,-1.602365,9.666629,2.384735,-1.651373,4.743339,2.423050,-1.475327,4.796417,2.418190,-1.478171,3.576080,2.427588,-1.430175,3.569146,-0.001506,-1.398413
13,0.054167,-0.001704,0.017003,0.008321,0.999819,4.039414,2.426694,-1.408736,-0.000017,-0.000006,-0.000001,1.000000,3.576049,2.427583,-1.430160,4.190367,0.005420,2.214887,4.152638,0.002062,0.991485,4.153723,0.003504,1.035542,4.142001,0.000632,-0.186291,4.157563,2.436130,2.209726,4.110835,2.433757,1.032650,4.074528,2.428665,-0.187350,4.073690,2.430896,-0.224188,4.039073,2.426643,-1.408697,4.090618,0.000066,-1.404192,4.137170,-0.002404,-0.228220,5.977313,2.413926,-1.511582,8.420854,2.403771,-1.600573,6.001367,2.412457,-1.511919,6.599672,1.181151,-1.495077,7.196463,2.408616,-1.552201,7.227611,2.404310,-1.552601,7.820923,1.173176,-1.552364,9.038174,1.164155,-1.602315,9.666582,2.384714,-1.651357,4.743293,2.423033,-1.475473,4.796416,2.418182,-1.478165,3.576084,2.427594,-1.430164,3.569140,-0.001501,-1.398417
14,0.058333,-0.001705,0.017006,0.008313,0.999819,4.039414,2.426675,-1.408726,-0.000020,-0.000005,0.000002,1.000000,3.576065,2.427584,-1.430167,4.190407,0.005458,2.214898,4.152604,0.002019,0.991445,4.153723,0.003474,1.035519,4.141780,0.000305,-0.186176,4.157583,2.436083,2.209758,4.110857,2.433738,1.032643,4.074543,2.428650,-0.187352,4.073701,2.430894,-0.224206,4.039100,2.426672,-1.408715,4.090612,0.000115,-1.404150,4.137176,-0.002384,-0.228238,5.977321,2.413927,-1.511584,8.420862,2.403777,-1.600566,6.001515,2.412544,-1.511952,6.599750,1.181182,-1.495063,7.196464,2.408628,-1.552199,7.227685,2.404307,-1.552670,7.820934,1.173229,-1.552347,9.038145,1.164215,-1.602351,9.666601,2.384748,-1.651366,4.743264,2.423019,-1.475493,4.796411,2.418204,-1.478177,3.576084,2.427602,-1.430158,3.569153,-0.001520,-1.398414
15,0.062500,-0.001703,0.017001,0.008317,0.999819,4.039414,2.426688,-1.408731,-0.000019,-0.000004,0.000001,1.000000,3.576079,2.427583,-1.430156,4.190397,0.005450,2.214914,4.152570,0.002005,0.991479,4.153693,0.003446,1.035504,4.141941,0.000573,-0.186284,4.157561,2.436088,2.209757,4.110787,2.433768,1.032639,4.074546,2.428650,-0.187345,4.073703,2.430876,-0.224188,4.039092,2.426671,-1.408713,4.090594,0.000067,-1.404180,4.137155,-0.002390,-0.228214,5.977314,2.413943,-1.511578,8.420873,2.403786,-1.600558,6.001607,2.412544,-1.511967,6.599777,1.181178,-1.495064,7.196459,2.408633,-1.552193,7.227654,2.404329,-1.552636,7.820922,1.173217,-1.552360,9.038133,1.164135,-1.602333,9.666585,2.384719,-1.651371,4.743279,2.423014,-1.475474,4.796415,2.418199,-1.478184,3.576079,2.427586,-1.430149,3.569188,-0.001523,-1.398403
