sec,pos_x,pos_y,pos_z,w,x,y,z
1723185751.5859158,-0.3002914786338806,0.20041102170944214,-0.25532960891723633,0.9984185695648193,0.0012406728928908706,-0.03658866509795189,0.04266415908932686
1723185751.595917,-0.30028074979782104,0.2004222720861435,-0.25533583760261536,0.9984273314476013,0.0012014014646410942,-0.036493513733148575,0.04254016652703285
1723185751.605468,-0.3002736568450928,0.20043432712554932,-0.2553437352180481,0.9984350204467773,0.0011661056196317077,-0.036399103701114655,0.04244275763630867
1723185751.61636,-0.3002701699733734,0.20044241845607758,-0.25534915924072266,0.9984380006790161,0.001155146979726851,-0.03634551912546158,0.04241706430912018
1723185751.625604,-0.30026721954345703,0.20045211911201477,-0.2553488314151764,0.9984351992607117,0.0011617385316640139,-0.036363475024700165,0.04246697202324867
1723185751.6357808,-0.3002728819847107,0.20045481622219086,-0.2553442418575287,0.9984283447265625,0.0011868372093886137,-0.03643291816115379,0.04257098212838173
1723185751.6454089,-0.30028170347213745,0.20045854151248932,-0.25533798336982727,0.9984193444252014,0.001224193605594337,-0.03652753308415413,0.042696788907051086
1723185751.655727,-0.30028799176216125,0.20046409964561462,-0.25533029437065125,0.9984118938446045,0.001255025970749557,-0.03662022203207016,0.042791273444890976
1723185751.665437,-0.3002939224243164,0.2004701793193817,-0.2553241550922394,0.9984085559844971,0.0012731956085190177,-0.036667004227638245,0.042830049991607666
1723185751.675433,-0.3002993166446686,0.20047862827777863,-0.25532323122024536,0.9984110593795776,0.0012672017328441143,-0.03665066137909889,0.042786337435245514
1723185751.685715,-0.3002984821796417,0.20049193501472473,-0.2553264796733856,0.9984179735183716,0.001238540979102254,-0.03657809644937515,0.04268695414066315
1723185751.695457,-0.30029383301734924,0.2005096822977066,-0.2553306221961975,0.9984266757965088,0.0011994442902505398,-0.03647638112306595,0.04257122799754143
1723185751.705242,-0.3002917468547821,0.20052772760391235,-0.2553355395793915,0.9984345436096191,0.001170075498521328,-0.03637973219156265,0.042469337582588196
1723185751.7152839,-0.3002898395061493,0.20054857432842255,-0.25533828139305115,0.9984376430511475,0.001159852952696383,-0.03632773458957672,0.04244164749979973
1723185751.725708,-0.30028989911079407,0.20056581497192383,-0.25533527135849,0.9984345436096191,0.0011693437118083239,-0.03634703904390335,0.04249831661581993
1723185751.735322,-0.30029645562171936,0.20057997107505798,-0.25532829761505127,0.9984270930290222,0.0012014983221888542,-0.03641586750745773,0.04261208325624466
1723185751.745604,-0.3003077208995819,0.2005884349346161,-0.25532016158103943,0.9984186291694641,0.0012456023832783103,-0.036511749029159546,0.04272743687033653
1723185751.755296,-0.3003145456314087,0.200600728392601,-0.25531068444252014,0.9984109997749329,0.001279759220778942,-0.036604829132556915,0.04282589629292488
1723185751.7652369,-0.3003219962120056,0.20061351358890533,-0.2553038001060486,0.9984078407287598,0.0012950386153534055,-0.03665301576256752,0.04285595938563347
1723185751.7755358,-0.3003308176994324,0.2006225734949112,-0.2553035020828247,0.9984107613563538,0.0012919424334540963,-0.03663639724254608,0.04280506446957588
1723185751.785297,-0.3003326654434204,0.2006387561559677,-0.2553081214427948,0.9984174370765686,0.0012651769211515784,-0.036564793437719345,0.042708296328783035
1723185751.795135,-0.3003306984901428,0.2006581872701645,-0.2553146779537201,0.9984259009361267,0.0012272987514734268,-0.036478329449892044,0.0425872839987278
1723185751.80558,-0.30033284425735474,0.20067362487316132,-0.25532278418540955,0.9984334111213684,0.0011907807784155011,-0.036383166909217834,0.0424918569624424
1723185751.815119,-0.30033379793167114,0.20069272816181183,-0.255329430103302,0.998436450958252,0.001170832198113203,-0.0363316647708416,0.04246573522686958
1723185751.826043,-0.3003382384777069,0.2007034569978714,-0.2553298771381378,0.9984339475631714,0.0011822209926322103,-0.03634414076805115,0.04251288250088692
1723185751.8351948,-0.3003496825695038,0.20071138441562653,-0.25532546639442444,0.9984272718429565,0.0012110626557841897,-0.03640446439385414,0.04261896386742592
1723185751.935314,-0.3004177510738373,0.20079080760478973,-0.2552991807460785,0.9984277486801147,0.001222933758981526,-0.03638779744505882,0.042621269822120667
1723185751.944906,-0.3004317879676819,0.20079120993614197,-0.2552872896194458,0.9984194040298462,0.0012633755104616284,-0.03647942095994949,0.042736392468214035
1723185751.954855,-0.30044183135032654,0.20079688727855682,-0.25527310371398926,0.9984111785888672,0.0012998833553865552,-0.036578111350536346,0.04284311830997467
1723185751.96526,-0.3004521131515503,0.2007991522550583,-0.25526103377342224,0.9984077215194702,0.0013177020009607077,-0.03663316369056702,0.0428767204284668
1723185751.97526,-0.300462543964386,0.20079846680164337,-0.2552551329135895,0.9984098076820374,0.0013105510734021664,-0.03662284091114998,0.04283745214343071
1723185751.9849179,-0.30046528577804565,0.20080576837062836,-0.255252867937088,0.9984167814254761,0.0012799307005479932,-0.03655774146318436,0.04272937402129173
1723185751.994808,-0.3004632890224457,0.20081597566604614,-0.2552507817745209,0.9984254240989685,0.0012331967009231448,-0.03646216168999672,0.04261091724038124
1723185752.005147,-0.30046552419662476,0.2008221298456192,-0.2552469074726105,0.998433530330658,0.0011975347297266126,-0.036360003054142,0.04250892624258995
1723185752.014755,-0.3004671037197113,0.20083066821098328,-0.25523898005485535,0.9984371066093445,0.0011797514744102955,-0.03630872070789337,0.042471691966056824
1723185752.024751,-0.3004690110683441,0.20084141194820404,-0.25522634387016296,0.998434841632843,0.0011884261621162295,-0.03632115200161934,0.0425112210214138
1723185752.035086,-0.3004795014858246,0.20084409415721893,-0.25521138310432434,0.9984281063079834,0.0012133336858823895,-0.03638271242380142,0.042617570608854294
