sec,pos_x,pos_y,pos_z,w,x,y,z
1723550646.2277849,0.4553118050098419,0.3013664782047272,-0.2600889503955841,0.9988413453102112,0.007654749788343906,0.009312975220382214,0.04658956825733185
1723550646.238035,0.45530688762664795,0.3013477325439453,-0.2600918412208557,0.9988438487052917,0.007704559713602066,0.009290777146816254,0.0465330071747303
1723550646.2477288,0.4553024172782898,0.30133137106895447,-0.26009494066238403,0.9988451600074768,0.007754340767860413,0.009260023012757301,0.04650365933775902
1723550646.257838,0.4552991986274719,0.3013209104537964,-0.26009857654571533,0.9988453388214111,0.0077934968285262585,0.0092391986399889,0.04649718850851059
1723550646.2679698,0.4552963376045227,0.3013201653957367,-0.260102242231369,0.9988440275192261,0.0078016044571995735,0.009235357865691185,0.04652424156665802
1723550646.277745,0.45529499650001526,0.30133286118507385,-0.26010650396347046,0.9988412857055664,0.007780567742884159,0.00924964714795351,0.04658522084355354
1723550646.287833,0.4552939832210541,0.301353394985199,-0.26011115312576294,0.9988387823104858,0.007736519444733858,0.009270256385207176,0.04664066061377525
1723550646.298043,0.45529356598854065,0.30137205123901367,-0.2601153254508972,0.998837411403656,0.007687273435294628,0.009299440309405327,0.04667266085743904
1723550646.307683,0.45529189705848694,0.3013869822025299,-0.26011955738067627,0.9988371729850769,0.007648926693946123,0.00932185910642147,0.04667908325791359
1723550646.317849,0.45528873801231384,0.30139362812042236,-0.26012399792671204,0.9988386631011963,0.007639966905117035,0.009322973899543285,0.04664988815784454
1723550646.32829,0.45528438687324524,0.301386296749115,-0.26012834906578064,0.9988413453102112,0.007657529320567846,0.009311357513070107,0.04659070819616318
1723550646.3376698,0.45527783036231995,0.30137333273887634,-0.26013123989105225,0.9988438487052917,0.007703844457864761,0.009288450703024864,0.04653511196374893
1723550646.347694,0.45527079701423645,0.30136287212371826,-0.26013267040252686,0.9988452196121216,0.0077561684884130955,0.009260674007236958,0.046500496566295624
1723550646.357648,0.45526427030563354,0.30135735869407654,-0.26013311743736267,0.9988453984260559,0.007793006487190723,0.009236483834683895,0.04649791121482849
1723550646.367986,0.4552595317363739,0.301359623670578,-0.26013344526290894,0.9988436698913574,0.007802789099514484,0.009231765754520893,0.04653274267911911
1723550646.3776338,0.4552561342716217,0.3013749420642853,-0.260134220123291,0.9988410472869873,0.007782250642776489,0.009242932312190533,0.04659023880958557
1723550646.388005,0.45525383949279785,0.30139440298080444,-0.26013603806495667,0.9988383054733276,0.007740898989140987,0.009269485250115395,0.04665001109242439
1723550646.3976839,0.45525065064430237,0.30141425132751465,-0.26013821363449097,0.9988370537757874,0.007687523495405912,0.009294652380049229,0.046681370586156845
1723550646.407579,0.45524662733078003,0.30143123865127563,-0.26014047861099243,0.9988371729850769,0.007649680599570274,0.009313938207924366,0.04668218269944191
1723550646.417958,0.455241858959198,0.3014371693134308,-0.2601407468318939,0.9988387823104858,0.007637448608875275,0.009321860037744045,0.04664802923798561
1723550646.428181,0.45523500442504883,0.30142903327941895,-0.2601395547389984,0.9988411664962769,0.007661081850528717,0.00931695755571127,0.046593084931373596
1723550646.447995,0.45521998405456543,0.3014063835144043,-0.2601354420185089,0.9988453388214111,0.007756501901894808,0.009257343597710133,0.046497903764247894
1723550646.45799,0.4552133083343506,0.3013971447944641,-0.2601330578327179,0.9988451600074768,0.007791944779455662,0.009237062186002731,0.04650217294692993
1723550646.468176,0.45520779490470886,0.30139634013175964,-0.260132372379303,0.9988436102867126,0.007802988868206739,0.009232524782419205,0.046533048152923584
1723550646.477773,0.45520439743995667,0.30140799283981323,-0.2601335048675537,0.9988409876823425,0.007779223378747702,0.009243497624993324,0.04659103602170944
1723550646.488232,0.4552016258239746,0.30142298340797424,-0.26013582944869995,0.9988384246826172,0.007733222562819719,0.009269779548048973,0.046647921204566956
1723550646.497602,0.4551982283592224,0.3014395236968994,-0.26013773679733276,0.9988368153572083,0.0076786126010119915,0.009301268495619297,0.04668771103024483
1723550646.507611,0.45519569516181946,0.3014528453350067,-0.2601388394832611,0.9988366961479187,0.007638631388545036,0.009325776249170303,0.0466906875371933
1723550646.517912,0.45519354939460754,0.301455020904541,-0.26013779640197754,0.998837947845459,0.007627671118825674,0.009334384463727474,0.04666319862008095
1723550646.528272,0.45518922805786133,0.30144602060317993,-0.2601373791694641,0.9988406896591187,0.007647396065294743,0.009325898252427578,0.046603377908468246
1723550646.5376248,0.45518192648887634,0.3014344871044159,-0.2601372003555298,0.9988428950309753,0.007691924460232258,0.009297216311097145,0.04655400663614273
1723550646.5482068,0.4551756680011749,0.30141758918762207,-0.26013651490211487,0.9988447427749634,0.007737916894257069,0.00926982145756483,0.04651219770312309
1723550646.557544,0.4551703929901123,0.30140799283981323,-0.26013559103012085,0.9988446235656738,0.007773205637931824,0.009245018474757671,0.04651370644569397
1723550646.568121,0.4551665484905243,0.3014082908630371,-0.26013368368148804,0.9988431930541992,0.007784748449921608,0.009238503873348236,0.04654362052679062
1723550646.5775318,0.4551652669906616,0.3014216721057892,-0.2601344883441925,0.9988404512405396,0.007753525860607624,0.009252284653484821,0.04660593718290329
1723550646.587548,0.4551672041416168,0.3014385998249054,-0.2601360082626343,0.9988380074501038,0.007708380464464426,0.009276514872908592,0.046660151332616806
1723550646.5975778,0.455171138048172,0.30145731568336487,-0.2601369023323059,0.9988365769386292,0.007653817068785429,0.009302599355578423,0.04669402912259102
1723550646.6079109,0.4551739990711212,0.30147290229797363,-0.26013681292533875,0.99883633852005,0.007616651710122824,0.009326307103037834,0.04670228436589241
