sec,pos_x,pos_y,pos_z,x,y,z,w
1723550647.9789393,-0.03358123078942299,0.008974770084023476,0.04353862628340721,-0.0027675156608488525,-0.0019407170625974548,-0.00048358091762385695,0.9999941736289999
1723550648.0798247,-0.03378899767994881,0.009085748344659805,0.044063132256269455,-0.0026548971957582185,-0.001745255866655951,-0.0005203199022437702,0.9999948143824592
1723550648.1806557,-0.03525526076555252,0.004654885735362768,0.041138991713523865,-0.0016852112714618927,-0.002719022164851486,-8.299211465132375e-05,0.9999948814380301
1723550648.281552,-0.031190678477287292,0.009924003854393959,0.04593539237976074,-0.0031523169789105785,-0.0015098001203263664,-0.0004700082234803479,0.9999937712952226
1723550648.3824537,-0.03965524211525917,0.009654118679463863,0.043732691556215286,-0.0028331174573921624,-0.0031854051437226784,-0.0006486018407611278,0.9999906867308853
1723550648.4834094,-0.035512540489435196,0.008569550700485706,0.042406145483255386,-0.0026856717330131937,-0.0020153016600910033,-0.0004390741425725537,0.9999942555858606
1723550648.584351,-0.03540036082267761,0.0088828569278121,0.04241947829723358,-0.0026876175675902537,-0.0018440466043851695,-0.0005899728163414565,0.9999944940057809
1723550648.6851418,-0.03583985194563866,0.008324622176587582,0.04258201643824577,-0.002660432362397912,-0.0020809280701693245,-0.0004662490601256521,0.9999941810796239
1723550648.7860081,-0.03588772565126419,0.008858523331582546,0.042752593755722046,-0.002677445556406827,-0.0018785009334324472,-0.0007267512346392133,0.9999943822464503
1723550648.8869905,-0.03678515926003456,0.008283876813948154,0.04300990700721741,-0.002415755717980409,-0.002015669339593484,-0.000690074781744133,0.9999948143824592
1723550648.9876947,-0.03719153255224228,0.008315877057611942,0.04292790964245796,-0.002391433045568975,-0.002036998458032736,-0.0007431206336490741,0.9999947696787428
1723550649.0886824,-0.03763887658715248,0.007742611691355705,0.0441327765583992,-0.0025556933660863795,-0.0022723083783099075,-0.0004582286156219244,0.9999940395177588
1723550649.1895387,-0.02804400399327278,0.007056467700749636,0.041712436825037,-0.0029181988419122776,-0.002068052210731772,-0.00021994159299101664,0.9999935701282733
1723550649.2904487,-0.03791531175374985,0.009689695201814175,0.042025819420814514,-0.0026845011292439664,-0.002286086003303508,-0.0009496351432563362,0.999993316806872
1723550649.3913176,-0.03519337624311447,0.010881642811000347,0.04268892481923103,-0.0030525222056722043,-0.0020563593197231787,-0.0009874060037510404,0.999992750558802
1723550649.4921925,-0.03703100234270096,0.011535032652318478,0.04283609613776207,-0.0030155324580298944,-0.0023984838875231165,-0.000957718639621636,0.9999921023533809
1723550649.5933344,-0.03862472251057625,0.010713146068155766,0.04288794845342636,-0.0027475642015998792,-0.002574349005160083,-0.0009329615995025602,0.9999924674346468
1723550649.693973,-0.038092803210020065,0.011406190693378448,0.04328618571162224,-0.002926622805684755,-0.002587367664692618,-0.000924714343353962,0.9999919458899403
1723550649.794798,-0.03678584471344948,0.01207878440618515,0.04358676075935364,-0.0028991974032579414,-0.002573702179067161,-0.0010718090577408602,0.9999918862848137
