sec,pos_x,pos_y,pos_z,x,y,z,w
1723186323.2589545,-0.008892695419490337,0.005630131810903549,0.0011378779308870435,0.0009252829662941432,-0.00011087323401060622,0.001543238704475096,0.9999983757721108
1723186323.2700872,-0.008892695419490337,0.005630131810903549,0.0011378779308870435,0.0009252815762019194,-0.000110792737148268,0.0015432118821976923,0.9999983683215181
1723186323.3591409,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.000862183671111596,-7.041143175136952e-05,0.0014993599951012779,0.9999985024321787
1723186323.52612,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.0008621686244087164,-7.04144148984588e-05,0.001499391310869747,0.9999985024321787
1723186323.559516,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.0008621150441766055,-7.042231296227689e-05,0.0014994129059442858,0.9999985024321787
1723186323.6151762,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.000862146586352555,-7.04207699322755e-05,0.0014993973533041335,0.9999985098827704
1723186323.6263082,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.0008621849581058518,-7.041472101376839e-05,0.001499363673360571,0.9999984949815869
1723186323.6374397,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.0008622739384799522,-7.03882858466675e-05,0.0014992955949905855,0.9999985173333621
1723186323.6485724,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.0008622281127272577,-7.039850599331073e-05,0.001499293871099455,0.9999985024321787
1723186323.6597042,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.00086225902104149,-7.044254015473591e-05,0.0014992940457226993,0.9999985024321787
1723186323.6708362,-0.00865723006427288,0.005749837961047888,0.0011094934307038784,0.000862216231922618,-7.043738460624529e-05,0.001499257480086531,0.9999985098827704
1723186323.6819687,-0.008665749803185463,0.005608239211142063,0.0010578505462035537,0.0009445052578482828,-0.00017561553104060478,0.0016132595568419618,0.9999982267602457
1723186323.6931005,-0.009314288385212421,0.00580220902338624,0.0013482293579727411,0.0009883597535183268,-0.00029029669662457714,0.0016894369545195575,0.9999980404953832
1723186323.8378189,-0.010495239868760109,0.0064978995360434055,0.0013768519274890423,0.001218974325689347,0.00013399580740993498,0.0012605946721799299,0.999998450278035
1723186323.8489509,-0.01053045503795147,0.006607371848076582,0.0013739123241975904,0.001106913289014441,0.0002029933123831319,0.001189042487854446,0.9999986588945933
1723186323.8600833,-0.01053045503795147,0.006607371848076582,0.0013739123241975904,0.001106953502314605,0.0002029787152802703,0.0011890526071418716,0.9999986663451839
1723186323.8712156,-0.010272003710269928,0.006426963955163956,0.001196567201986909,0.0011017708442260486,0.00010529653685831541,0.001151408246640309,0.9999987334004964
1723186323.8823476,-0.010297794826328754,0.006416678428649902,0.0011408705031499267,0.0009362787015925338,-0.00014335573541011503,0.0013023471501942975,0.9999987184993162
1723186323.8934805,-0.010539727285504341,0.006399655714631081,0.0010060598142445087,0.0008912801119417468,-0.00037987145267574774,0.0014604755493190112,0.999998450278035
1723186323.9936714,-0.010566400364041328,0.006387080065906048,0.0010579099180176854,0.0006715046804035282,-0.0004118838631416561,0.0016170944849415855,0.9999983906732961
1723186324.0715978,-0.009844363667070866,0.006241220980882645,0.0006789215840399265,0.0007851296152190575,-0.0001802312723295071,0.0013501851654104085,0.9999987706534459
1723186324.138393,-0.010480837896466255,0.0064094397239387035,0.0007856937008909881,0.0007280822055903222,-0.00011316955150683763,0.0012363147197041737,0.9999989569181724
1723186324.149525,-0.010480837896466255,0.0064094397239387035,0.0007856937008909881,0.0007281211411311553,-0.00011307467207810883,0.0012362465492513726,0.9999989643687608
1723186324.1940558,-0.010215419344604015,0.006425709929317236,0.0007490707212127745,0.0008155696776908441,-0.0002936069279898197,0.0013650728361902884,0.9999986886969552
1723186324.205188,-0.010413960553705692,0.006459630560129881,0.000925070489756763,0.0008499985508608881,-0.00034700212582150334,0.0013762566515627423,0.9999986365428213
1723186324.2385733,-0.010465635918080807,0.00648656627163291,0.0008578072302043438,0.0008726095732901801,-0.0002164411442083816,0.0012914938334756948,0.9999987781040356
1723186324.2496998,-0.01035070139914751,0.006400687620043755,0.0007927546976134181,0.0009492042893074294,-0.00016153135668443676,0.0012868407354585134,0.9999987110487261
1723186324.2608266,-0.010730437003076077,0.006608236115425825,0.0012669508578255773,0.0010940971160523733,-5.129558030618989e-05,0.0012676882037002534,0.9999985992898668
1723186324.2719548,-0.010730437003076077,0.006608236115425825,0.0012669508578255773,0.0010940930496620533,-5.132268730663493e-05,0.0012676942667505524,0.9999985918392758
1723186324.2830813,-0.010932987555861473,0.0065425387583673,0.001422758912667632,0.0012074779736625581,-0.00024012437843598747,0.0014238055558295148,0.9999982342108396
1723186324.3275898,-0.011537592858076096,0.006502443924546242,0.0016813557595014572,0.001013077077103543,-0.00021421761250780028,0.0014878541166225855,0.9999983534203325
1723186324.5501323,-0.011281855404376984,0.006384364329278469,0.0015891699586063623,0.000897175476381266,5.656732905297636e-05,0.0014250962214058171,0.9999985843886846
1723186324.572387,-0.011497974395751953,0.006184838712215424,0.0015188815305009484,0.0009881012426762323,-0.00013588851291926394,0.001560244996429657,0.9999982863649944
1723186324.616895,-0.01163496170192957,0.006101727019995451,0.0014777036849409342,0.0010971668958556567,-0.000439440739476013,0.0016771061201321508,0.9999978914834682
1723186324.628022,-0.011380641721189022,0.006212243344634771,0.00143487099558115,0.0012617036658059422,-0.00028946773545577247,0.001539890690059901,0.9999979734400242
